"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.928558750E0,-8.316281601E-4,1.518458594E-3,5.249009700E-5,1.732073066E-3
1.938607750E0,1.151894219E-3,9.890645742E-7,-1.581659308E-4,1.162702770E-3
1.948656750E0,5.552265211E-4,1.913120970E-3,2.070645569E-4,2.002794065E-3
1.958705750E0,-8.317478350E-4,1.569573302E-3,8.054767968E-4,1.950425000E-3
1.968754750E0,1.245373045E-3,7.354053669E-4,1.054893597E-3,1.790132838E-3
1.978803750E0,-5.477333325E-4,7.737549022E-4,3.054800327E-4,9.960052724E-4
1.988852750E0,-2.044326859E-3,1.789501403E-3,-1.821340644E-3,3.270912612E-3
1.998901750E0,-8.046254516E-4,1.379108056E-3,2.754769055E-3,3.184040467E-3
2.008950375E0,-1.903393306E-3,1.090932637E-4,-3.187444527E-4,1.932978387E-3
2.018999375E0,-8.027088479E-4,6.632967852E-4,-3.182118235E-4,1.088835564E-3
2.029048375E0,6.239662180E-4,1.630634069E-4,6.736202631E-4,9.325705200E-4
2.039097375E0,-3.829749476E-4,1.287087798E-4,-5.555321695E-5,4.078258457E-4
2.049146375E0,1.533784438E-3,4.751454107E-4,5.506805610E-5,1.606639460E-3
2.059195375E0,-9.952636901E-7,1.628027763E-3,-1.184100751E-3,2.013099594E-3
2.069243375E0,1.724853762E-3,-1.919996459E-3,5.618901923E-5,2.581601075E-3
2.079292375E0,-8.472271729E-4,1.044101547E-3,-1.246096799E-3,1.833220979E-3
2.089341375E0,-1.418292755E-3,-2.385717817E-4,1.966082258E-3,2.435970090E-3
2.099390375E0,-7.671498461E-4,-1.524345949E-3,-8.294378640E-4,1.897397330E-3
2.109439375E0,1.982531277E-3,-1.044629142E-3,4.426444648E-4,2.284209805E-3
2.119488375E0,-1.881449018E-3,6.550005637E-4,-2.895095386E-3,3.514321191E-3
2.129537375E0,-2.248876495E-3,7.470836863E-4,1.453641453E-3,2.780045503E-3
2.139586375E0,7.623598212E-4,-2.771681175E-4,4.056817852E-5,8.121948285E-4
2.149635375E0,1.818628283E-3,-5.364418030E-6,2.194747794E-4,1.831831539E-3
2.159684375E0,-1.345340570E-4,-1.229353249E-3,1.272222260E-3,1.774248659E-3
