Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
2.030541125,0.002692887,-0.001880494,0.001705206,0.00370076
2.040591125,0.003354773,0.000833907,0.002324999,0.004165996
2.050640125,0.000998675,-0.000117108,0.001410469,0.001732192
2.060690125,-0.00159802,0.000619807,-0.001362499,0.002189574
2.070739125,-0.004296069,-0.000478214,0.001806929,0.004685071
2.080789125,-0.001600107,-0.002071035,0.002222668,0.003433625
2.090838125,0.001837502,-0.005743267,0.003838141,0.007147927
2.100888125,-0.0004393,-0.002905389,0.000764444,0.003036222
2.110937125,-0.000662739,-0.002106974,0.002284043,0.003177329
2.120987125,-0.001279283,0.002013062,0.001221965,0.00267996
2.131036125,-1.42813E-05,0.003063146,-0.001837741,0.003572164
2.141086125,-0.00090806,0.002094414,-0.002717126,0.003548791
2.151135125,0.000144155,-0.000240114,-0.003139503,0.00315197
2.161185125,0.002403314,0.003843045,-0.004856177,0.006642844
2.171234125,0.002074946,0.008799721,-0.002084092,0.009278142
2.181284125,-0.002570271,0.008736022,9.618E-05,0.00910679
2.191333125,-0.008983696,-0.001878273,0.001991019,0.009391425
2.201383125,0.001981558,-0.014391854,0.003526427,0.014949506
2.211432125,0.009653326,-0.021296898,0.000945558,0.02340168
2.221482125,0.007520533,-0.00518286,-6.19853E-06,0.009133482
2.231531125,-0.002940896,0.013132231,-0.004649953,0.014238203
2.241581125,-0.010026813,0.014192685,-0.008597841,0.019387939
2.251630125,-0.002455446,0.006421848,-0.009410371,0.011654374
2.261680125,0.005542803,0.001663703,-0.003056878,0.006544851
2.271729125,0.007017928,0.004885596,-0.002644088,0.008950506
2.281779125,0.002821362,0.005947241,-0.002913466,0.007198475
2.291828125,-0.002184849,-0.001796165,-0.005617374,0.00628925
2.301878125,-0.003489685,-0.000112703,-0.003467737,0.004920956
2.311927125,-0.001563954,-0.007023073,-0.002236558,0.0075347
2.321977125,0.003766453,-0.005966128,0.000480855,0.007071922
2.332026125,0.001666017,-0.005315784,-0.000509574,0.005594001
2.342076125,-0.002931022,0.007180301,-0.003364853,0.008453984
2.352125125,-0.002406646,0.015023043,-0.00210571,0.015359616
2.362175125,-0.003918964,0.003984084,-0.000974324,0.005672787
2.372224125,0.001165277,0.000226363,-0.002054236,0.002372551
2.382274125,0.001831708,-0.001116309,-0.004252665,0.00476303
2.392323125,0.001482567,0.000875469,-0.001850227,0.002527408
2.402373125,-0.001440183,0.005670993,-0.002323672,0.006295533
2.412422125,-0.003149666,0.005233702,-0.001687975,0.006337294
2.422472125,-0.000888264,0.002455569,-0.000270441,0.002625257
2.432521125,0.000743188,0.005807691,0.003908325,0.007039645
2.442571125,-0.002464391,0.000106601,0.005876221,0.006372955
2.452620125,-0.006317718,-0.002435121,0.004442375,0.008098029
2.462670125,-0.004789042,-0.000886085,0.006592087,0.008196078
2.472719125,-0.004779721,0.00399469,0.006470914,0.008981982
2.482769125,-0.001599707,-0.002944333,0.00548951,0.006431398
2.492818125,0.000920176,-0.008612072,0.003957926,0.009522588
2.502868125,0.003667383,-0.001465386,0.001657973,0.004283215
2.512917125,0.003333423,0.011467723,0.001888603,0.01209079
2.522967125,-0.004001788,0.015854059,0.004395141,0.016931708
2.533016125,-0.00512218,0.008297339,0.00675337,0.011861305
2.543066125,-0.006035468,0.00267334,0.01033167,0.012260384
2.553115125,0.001505806,-0.011588421,0.015001257,0.019015695
2.563165125,0.001442555,-0.019851895,0.013085702,0.02382046
2.573214625,0.006141436,-0.021469766,0.012767455,0.025723064
2.583264625,0.008425385,-0.00368983,0.008988438,0.012860559
2.593313625,-0.001530044,0.017781375,0.002880478,0.018078039
2.603363625,-0.005393223,0.013213959,0.003334699,0.014656595
2.613412625,-0.002142835,0.005818892,0.004092102,0.007429438
2.623462625,-0.000186655,0.006679658,0.004734761,0.008189666
2.633511625,-0.003510813,0.007757173,0.005111598,0.009931162
2.643561625,-0.001763934,-0.003950272,0.00846232,0.00950405
2.653610625,-0.000464311,0.001269524,0.007893736,0.008008641
2.663660625,0.000822994,0.006203937,0.010265784,0.012022998
2.673709625,-0.001484901,0.001416373,0.014762266,0.014904212
2.683759625,-0.0005322,-0.007638876,0.015934095,0.017678547
2.693808625,-0.001435011,-0.009987518,0.013388379,0.016764798
2.703858625,0.004465975,-0.002608884,0.011408947,0.012526583
2.713907625,-0.000962612,0.014159443,0.006258394,0.015510768
2.723957625,-0.004017967,0.015125575,0.007954485,0.017555651
2.734006625,-0.009184234,0.005156297,0.011554546,0.01563474
2.744056625,-0.008716006,0.001050519,0.014132239,0.016637083
2.754105625,0.000880163,-0.000143643,0.021084953,0.021103805
2.764155625,0.002952368,0.010854414,0.021646613,0.02439489
2.774204625,0.001882577,0.005841279,0.023659963,0.024442964
2.784254625,-0.002070087,-0.000935933,0.025212852,0.025314999
2.794303625,-0.008478718,-0.006752277,0.026442699,0.028577933
2.804353625,-0.006772986,-0.00774125,0.022317721,0.024573989
2.814402625,-0.003567338,0.001566232,0.015112538,0.015606658
2.824452625,-0.002158438,0.009773061,0.006887137,0.012149248
2.834501625,-0.005521211,0.017169459,0.004268717,0.018533646
2.844551625,-0.005182812,0.028227136,0.004632733,0.029070517
2.854600625,-0.005246195,0.018861333,0.009839745,0.021911025
2.864650625,-0.008573017,0.012363047,0.017760901,0.023276408
2.874699625,-0.006305868,0.006868147,0.023222245,0.02502415
2.884749625,-0.003676151,-0.011658587,0.024741778,0.027596962
2.894798625,0.001217141,-0.020263262,0.02876688,0.035208161
2.904848625,-0.001590141,-0.020594306,0.029161006,0.035735393
2.914897625,-0.006824584,-0.000961218,0.013335439,0.01501109
2.924947625,-0.008207165,0.024301575,0.003513759,0.025889585
2.934996625,-0.013135345,0.023085576,-0.005514624,0.027127332
2.945046625,-0.014547419,0.01953516,-0.008214032,0.025704478
2.955095625,-0.003519269,0.039149072,-0.005130358,0.039640329
2.965145625,0.004143443,0.043168943,0.005042234,0.043659477
2.975194625,-0.00693584,0.024076741,0.015544941,0.029486277
2.985244625,-0.016741108,0.012101995,0.026891472,0.033909796
2.995293625,-0.006224286,-0.036964618,0.032134969,0.049373889
3.005343625,0.008025645,-0.07567481,0.025388718,0.080222657
3.015392625,0.016342431,-0.045679092,0.007450996,0.049083316
